,num,title,date,status,stream,area,wg,area2,key words,drafts count
0,8624,Algorithm Implementation Requirements and Usage Guidance for DNSSEC, June 2019 , PROPOSED STANDARD, IETF, ops, dnsop,DNS,,14
1,8586,Loop Detection in Content Delivery Networks (CDNs), April 2019 , PROPOSED STANDARD, IETF, art, httpbis,DNS,"CDN-Loop, ",4
2,8567,Customer Management DNS Resource Records, 1 April 2019 , INFORMATIONAL, INDEPENDENT,,,DNS,,0
3,8553,DNS Attrleaf Changes: Fixing Specifications That Use Underscored Node Names, March 2019 , BEST CURRENT PRACTICE, IETF, ops, dnsop,DNS,"DNS, Domain Name System",8
4,8552,"Scoped Interpretation of DNS Resource Records through ""Underscored"" Naming of Attribute Leaves", March 2019 , BEST CURRENT PRACTICE, IETF, ops, dnsop,DNS,"DNS, Domain Name System",25
5,8509,A Root Key Trust Anchor Sentinel for DNSSEC, December 2018 , PROPOSED STANDARD, IETF, ops, dnsop,DNS,"DNSSEC, KSK, RFC5011, DNS, rollover, root-key-sentinel-is-ta-, root-key-sentinel-not-ta-, root key, security",23
6,8499,DNS Terminology, January 2019 , BEST CURRENT PRACTICE, IETF, ops, dnsop,DNS,"vocabulary, domain name system",15
7,8490,DNS Stateful Operations, March 2019 , PROPOSED STANDARD, IETF, ops, dnsop,DNS,,24
8,8482,Providing Minimal-Sized Responses to DNS Queries That Have QTYPE=ANY, January 2019 , PROPOSED STANDARD, IETF, ops, dnsop,DNS,"DNS, ANY, REFUSE, DDOS, ABUSE",12
9,8467,Padding Policies for Extension Mechanisms for DNS (EDNS(0)), October 2018 , EXPERIMENTAL, IETF, int, dprive,DNS,security,8
10,8427,Representing DNS Messages in JSON, July 2018 , INFORMATIONAL, IETF,, NON WORKING GROUP,DNS,,17
11,8324,"DNS Privacy, Authorization, Special Uses, Encoding, Characters, Matching, and Root Structure: Time for Another Look?", February 2018 , INFORMATIONAL, INDEPENDENT,,,DNS,"domain name, DNS functions, DNS extensions",6
12,8222,Selecting Labels for Use with Conventional DNS and Other Resolution Systems in DNS-Based Service Discovery, September 2017 , INFORMATIONAL, IETF, int, dnssd,DNS,"DNS, mDNS, DNS-SD",7
13,8198,Aggressive Use of DNSSEC-Validated Cache, July 2017 , PROPOSED STANDARD, IETF, ops, dnsop,DNS,"Negative cache, NCACHE, NSEC, NSEC3",15
14,8145,Signaling Trust Anchor Knowledge in DNS Security Extensions (DNSSEC), April 2017 , PROPOSED STANDARD, IETF, ops, dnsop,DNS,"DNS, DNSSEC, Trust Anchor",7
15,8109,Initializing a DNS Resolver with Priming Queries, March 2017 , BEST CURRENT PRACTICE, IETF, ops, dnsop,DNS,,13
16,8080,Edwards-Curve Digital Security Algorithm (EdDSA) for DNSSEC, February 2017 , PROPOSED STANDARD, IETF, sec, curdle,DNS,"DNSSEC, EdDSA, ed25519, ed448",14
17,8078,Managing DS Records from the Parent via CDS/CDNSKEY, March 2017 , PROPOSED STANDARD, IETF, ops, dnsop,DNS,"dnssec, trust maintenance",9
18,8027,DNSSEC Roadblock Avoidance, November 2016 , BEST CURRENT PRACTICE, IETF, ops, dnsop,DNS,"DNSSEC, Network Problems, DNS",8
19,8006,Content Delivery Network Interconnection (CDNI) Metadata, December 2016 , PROPOSED STANDARD, IETF, art, cdni,DNS,"CDN, cascaded CDN, cascading CDNs, content acquisition, content delegation, request delegation, acquisition protocol, delivery restriction, delivery policy, policy enforcement, delivery protocol, content expiration, geo-fencing, geofencing, geo fencing, geo-blocking,  geoblocking, geo blocking, footprint, cache control",22
20,8005,Host Identity Protocol (HIP) Domain Name System (DNS) Extension, October 2016 , PROPOSED STANDARD, IETF, int, hip,DNS,"HIP, Host Identity Protocol, Host Identity Payload, DNS, Domain Name System",11
21,7958,DNSSEC Trust Anchor Publication for the Root Zone, August 2016 , INFORMATIONAL, INDEPENDENT,,,DNS,"DNS, ICANN, IANA, KSK",17
22,7901,CHAIN Query Requests in DNS, June 2016 , EXPERIMENTAL, IETF, ops, dnsop,DNS,"DNSSEC, EDNS0, latency",9
23,7873,Domain Name System (DNS) Cookies, May 2016 , PROPOSED STANDARD, IETF, ops, dnsop,DNS,"denial of service, forgery, cache poisoning, off-path",17
24,7871,Client Subnet in DNS Queries, May 2016 , INFORMATIONAL, IETF, ops, dnsop,DNS,"edns-client-subnet, ECS, DNS geolocation, DNS load-balancing, EDNS, EDNS0, geolocation, privacy",12
25,7830,The EDNS(0) Padding Option, May 2016 , PROPOSED STANDARD, IETF, int, dprive,DNS,"Domain Name System, DNS, EDNS, EDNS0, Security, Encryption, Padding",6
26,7828,The edns-tcp-keepalive EDNS0 Option, April 2016 , PROPOSED STANDARD, IETF, ops, dnsop,DNS,"long-lived, dnssec, DNS, TCP/IP, transport",9
27,7816,DNS Query Name Minimisation to Improve Privacy, March 2016 , EXPERIMENTAL, IETF, ops, dnsop,DNS,,13
28,7766,DNS Transport over TCP - Implementation Requirements, March 2016 , PROPOSED STANDARD, IETF, ops, dnsop,DNS,"DNS, TCP/IP, transport",8
29,7745,XML Schemas for Reverse DNS Management, January 2016 , INFORMATIONAL, INDEPENDENT,,,DNS,,3
30,7720,DNS Root Name Service Protocol and Deployment Requirements, December 2015 , BEST CURRENT PRACTICE, IETF,, IESG,DNS,,5
31,7719,DNS Terminology, December 2015 , INFORMATIONAL, IETF, ops, dnsop,DNS,,9
32,7646,Definition and Use of DNSSEC Negative Trust Anchors, September 2015 , INFORMATIONAL, IETF, ops, dnsop,DNS,"NTA, ISP, Internet Service Provider, DNS, DNSSEC, Negative Trust Anchors",14
33,7626,DNS Privacy Considerations, August 2015 , INFORMATIONAL, IETF, int, dprive,DNS,"Confidentiality, Pervasive Surveillance, Domain Name System",10
34,7583,DNSSEC Key Rollover Timing Considerations, October 2015 , INFORMATIONAL, IETF, ops, dnsop,DNS,,10
35,7558,Requirements for Scalable DNS-Based Service Discovery (DNS-SD) / Multicast DNS (mDNS) Extensions, July 2015 , INFORMATIONAL, IETF, int, dnssd,DNS,,11
36,7553,The Uniform Resource Identifier (URI) DNS Resource Record, June 2015 , INFORMATIONAL, IETF,, NON WORKING GROUP,DNS,"Operations, DNS, applications",15
37,7535,AS112 Redirection Using DNAME, May 2015 , INFORMATIONAL, IETF, ops, dnsop,DNS,"DNS, root server",9
38,7534,AS112 Nameserver Operations, May 2015 , INFORMATIONAL, IETF, ops, dnsop,DNS,"AS112, DNS, reverse DNS, anycast",8
