,num,title,date,status,stream,area,wg,area2,key words,drafts count,obsoleted
0,8624,Algorithm Implementation Requirements and Usage Guidance for DNSSEC, June 2019 , PROPOSED STANDARD, IETF, ops, dnsop,DNS,,14,False
1,8586,Loop Detection in Content Delivery Networks (CDNs), April 2019 , PROPOSED STANDARD, IETF, art, httpbis,DNS,"CDN-Loop, ",4,False
5,8509,A Root Key Trust Anchor Sentinel for DNSSEC, December 2018 , PROPOSED STANDARD, IETF, ops, dnsop,DNS,"DNSSEC, KSK, RFC5011, DNS, rollover, root-key-sentinel-is-ta-, root-key-sentinel-not-ta-, root key, security",23,False
7,8490,DNS Stateful Operations, March 2019 , PROPOSED STANDARD, IETF, ops, dnsop,DNS,,24,False
8,8482,Providing Minimal-Sized Responses to DNS Queries That Have QTYPE=ANY, January 2019 , PROPOSED STANDARD, IETF, ops, dnsop,DNS,"DNS, ANY, REFUSE, DDOS, ABUSE",12,False
13,8198,Aggressive Use of DNSSEC-Validated Cache, July 2017 , PROPOSED STANDARD, IETF, ops, dnsop,DNS,"Negative cache, NCACHE, NSEC, NSEC3",15,False
14,8145,Signaling Trust Anchor Knowledge in DNS Security Extensions (DNSSEC), April 2017 , PROPOSED STANDARD, IETF, ops, dnsop,DNS,"DNS, DNSSEC, Trust Anchor",7,False
16,8080,Edwards-Curve Digital Security Algorithm (EdDSA) for DNSSEC, February 2017 , PROPOSED STANDARD, IETF, sec, curdle,DNS,"DNSSEC, EdDSA, ed25519, ed448",14,False
17,8078,Managing DS Records from the Parent via CDS/CDNSKEY, March 2017 , PROPOSED STANDARD, IETF, ops, dnsop,DNS,"dnssec, trust maintenance",9,False
19,8006,Content Delivery Network Interconnection (CDNI) Metadata, December 2016 , PROPOSED STANDARD, IETF, art, cdni,DNS,"CDN, cascaded CDN, cascading CDNs, content acquisition, content delegation, request delegation, acquisition protocol, delivery restriction, delivery policy, policy enforcement, delivery protocol, content expiration, geo-fencing, geofencing, geo fencing, geo-blocking,  geoblocking, geo blocking, footprint, cache control",22,False
20,8005,Host Identity Protocol (HIP) Domain Name System (DNS) Extension, October 2016 , PROPOSED STANDARD, IETF, int, hip,DNS,"HIP, Host Identity Protocol, Host Identity Payload, DNS, Domain Name System",11,False
23,7873,Domain Name System (DNS) Cookies, May 2016 , PROPOSED STANDARD, IETF, ops, dnsop,DNS,"denial of service, forgery, cache poisoning, off-path",17,False
25,7830,The EDNS(0) Padding Option, May 2016 , PROPOSED STANDARD, IETF, int, dprive,DNS,"Domain Name System, DNS, EDNS, EDNS0, Security, Encryption, Padding",6,False
26,7828,The edns-tcp-keepalive EDNS0 Option, April 2016 , PROPOSED STANDARD, IETF, ops, dnsop,DNS,"long-lived, dnssec, DNS, TCP/IP, transport",9,False
28,7766,DNS Transport over TCP - Implementation Requirements, March 2016 , PROPOSED STANDARD, IETF, ops, dnsop,DNS,"DNS, TCP/IP, transport",8,False
39,7505,"A ""Null MX"" No Service Resource Record for Domains That Accept No Mail", June 2015 , PROPOSED STANDARD, IETF, art, appsawg,DNS,"DNS, e-mail",14,False
40,7477,Child-to-Parent Synchronization in DNS, March 2015 , PROPOSED STANDARD, IETF, ops, dnsop,DNS,,11,False
42,7344,Automating DNSSEC Delegation Trust Maintenance, September 2014 , PROPOSED STANDARD, IETF, ops, dnsop,DNS,"key roll, trust anchor, CDS, CDNSKEY, DNSSEC, DNS",21,False
44,7218,Adding Acronyms to Simplify Conversations about DNS-Based Authentication of Named Entities (DANE), April 2014 , PROPOSED STANDARD, IETF, sec, dane,DNS,"DNSSEC, DANE, Applications",5,False
45,7216,Location Information Server (LIS) Discovery Using IP Addresses and Reverse DNS, April 2014 , PROPOSED STANDARD, IETF, rai, geopriv,DNS,"HELD, LIS, Discovery, NAT, Residential Gateway",14,False
49,6975,Signaling Cryptographic Algorithm Understanding in DNS Security Extensions (DNSSEC), July 2013 , PROPOSED STANDARD, IETF, int, dnsext,DNS,"DNS, DNSSEC, EDNS",11,False
56,6844,DNS Certification Authority Authorization (CAA) Resource Record, January 2013 , PROPOSED STANDARD, IETF, sec, pkix,DNS,"[--------], DNS, DNSSEC, PKIX",21,False
58,6840,Clarifications and Implementation Notes for DNS Security (DNSSEC), February 2013 , PROPOSED STANDARD, IETF, int, dnsext,DNS,"EAP, AAA, reconnect",22,False
61,6763,DNS-Based Service Discovery, February 2013 , PROPOSED STANDARD, IETF,, NON WORKING GROUP,DNS,,13,False
62,6762,Multicast DNS, February 2013 , PROPOSED STANDARD, IETF,, NON WORKING GROUP,DNS,,16,False
64,6731,Improved Recursive DNS Server Selection for Multi-Interfaced Nodes, December 2012 , PROPOSED STANDARD, IETF, int, mif,DNS,"DNS, RDNSS, interface, FQDN, selection",21,False
65,6725,DNS Security (DNSSEC) DNSKEY Algorithm IANA Registry Updates, August 2012 , PROPOSED STANDARD, IETF, int, dnsext,DNS,[--------],6,False
66,6672,DNAME Redirection in the DNS, June 2012 , PROPOSED STANDARD, IETF, int, dnsext,DNS,[--------],27,False
67,6641,Using DNS SRV to Specify a Global File Namespace with NFS Version 4, June 2012 , PROPOSED STANDARD, IETF, tsv, nfsv4,DNS,"[--------], domainroot, domain root file system",18,False
68,6605,Elliptic Curve Digital Signature Algorithm (DSA) for DNSSEC, April 2012 , PROPOSED STANDARD, IETF, int, dnsext,DNS,"[--------], dnskey algorithm, ds hash algo, crypto, DNS key, DNSKEY algorithm, DS, digest hash cryptography, SHA-384, ECDSAP256SHA256, ECDSAP384SHA384",8,False
69,6604,xNAME RCODE and Status Bits Clarification, April 2012 , PROPOSED STANDARD, IETF, int, dnsext,DNS,"[--------], DNS, DNSSEC, CNAME, DNAME, Domain Name, response code, canonical name",7,False
76,6116,The E.164 to Uniform Resource Identifiers (URI) Dynamic Delegation Discovery System (DDDS) Application (ENUM), March 2011 , PROPOSED STANDARD, IETF, rai, enum,DNS,"[--------], DNS, E.164, NAPTR, dynamic delegation discovery system, e164.arpa",10,False
77,6014,Cryptographic Algorithm Identifier Allocation for DNSSEC, November 2010 , PROPOSED STANDARD, IETF, int, dnsext,DNS,"[--------], DNSSEC, digital signatures, algorithms",4,False
