,0,1
0,8624,找到约 918 条结果 （用时 0.19 秒） 
1,8586,找到约 956 条结果 （用时 0.24 秒） 
2,8567,找到约 714 条结果 （用时 0.32 秒） 
3,8553,"找到约 1,290 条结果 （用时 0.21 秒） "
4,8552,找到约 980 条结果 （用时 0.24 秒） 
5,8509,找到约 815 条结果 （用时 0.22 秒） 
6,8499,"找到约 1,220 条结果 （用时 0.20 秒） "
7,8490,"找到约 1,070 条结果 （用时 0.25 秒） "
8,8482,"找到约 298,000 条结果 （用时 0.27 秒） "
9,8467,"找到约 1,250 条结果 （用时 0.17 秒） "
10,8427,找到约 858 条结果 （用时 0.21 秒） 
11,8324,找到约 789 条结果 （用时 0.23 秒） 
12,8222,"找到约 2,130 条结果 （用时 0.20 秒） "
13,8198,"找到约 1,940 条结果 （用时 0.22 秒） "
14,8145,"找到约 4,710 条结果 （用时 0.22 秒） "
15,8109,"找到约 1,520 条结果 （用时 0.21 秒） "
16,8080,找到约 972 条结果 （用时 0.26 秒） 
17,8078,"找到约 1,470 条结果 （用时 0.26 秒） "
18,8027,"找到约 1,020 条结果 （用时 0.20 秒） "
19,8006,"找到约 1,380 条结果 （用时 0.20 秒） "
20,8005,"找到约 1,150 条结果 （用时 0.22 秒） "
21,7958,"找到约 1,620 条结果 （用时 0.20 秒） "
22,7901,"找到约 1,080 条结果 （用时 0.30 秒） "
23,7873,"找到约 4,770 条结果 （用时 0.20 秒） "
24,7871,"找到约 4,020 条结果 （用时 0.25 秒） "
25,7830,"找到约 2,240 条结果 （用时 0.16 秒） "
26,7828,"找到约 2,040 条结果 （用时 0.21 秒） "
27,7816,"找到约 1,600 条结果 （用时 0.28 秒） "
28,7766,"找到约 4,610 条结果 （用时 0.26 秒） "
29,7745,找到约 457 条结果 （用时 0.26 秒） 
30,7720,"找到约 1,440 条结果 （用时 0.26 秒） "
31,7719,"找到约 3,120 条结果 （用时 0.24 秒） "
32,7646,"找到约 1,030 条结果 （用时 0.24 秒） "
33,7626,"找到约 10,900 条结果 （用时 0.20 秒） "
34,7583,"找到约 1,280 条结果 （用时 0.22 秒） "
35,7558,"找到约 1,050 条结果 （用时 0.22 秒） "
36,7553,"找到约 6,620 条结果 （用时 0.24 秒） "
37,7535,"找到约 6,030 条结果 （用时 0.23 秒） "
38,7534,"找到约 1,090 条结果 （用时 0.21 秒） "
39,7505,"找到约 91,000 条结果 （用时 0.26 秒） "
40,7477,"找到约 6,670 条结果 （用时 0.21 秒） "
41,7393,"找到约 5,210 条结果 （用时 0.26 秒） "
42,7344,"找到约 7,610 条结果 （用时 0.23 秒） "
43,7314,"找到约 5,190 条结果 （用时 0.22 秒） "
44,7218,"找到约 6,130 条结果 （用时 0.20 秒） "
45,7216,"找到约 5,460 条结果 （用时 0.29 秒） "
46,7129,"找到约 5,690 条结果 （用时 0.19 秒） "
47,7085,"找到约 5,170 条结果 （用时 0.25 秒） "
48,7043,"找到约 5,880 条结果 （用时 0.27 秒） "
49,6975,找到约 990 条结果 （用时 0.24 秒） 
50,6950,"找到约 1,060 条结果 （用时 0.21 秒） "
51,6944,"找到约 2,160 条结果 （用时 0.25 秒） "
52,6927,找到约 517 条结果 （用时 0.22 秒） 
53,6912,"找到约 1,070 条结果 （用时 0.20 秒） "
54,6895,"找到约 3,490 条结果 （用时 0.25 秒） "
55,6891,"找到约 6,880 条结果 （用时 0.23 秒） "
56,6844,"找到约 5,930 条结果 （用时 0.31 秒） "
57,6841,"找到约 9,290 条结果 （用时 0.19 秒） "
58,6840,"找到约 1,310 条结果 （用时 0.23 秒） "
59,6804,找到约 448 条结果 （用时 0.23 秒） 
60,6781,"找到约 2,440 条结果 （用时 0.20 秒） "
61,6763,"找到约 6,910 条结果 （用时 0.24 秒） "
62,6762,"找到约 9,560 条结果 （用时 0.20 秒） "
63,6742,"找到约 2,350 条结果 （用时 0.21 秒） "
64,6731,找到约 654 条结果 （用时 0.25 秒） 
65,6725,"找到约 1,110 条结果 （用时 0.22 秒） "
66,6672,"找到约 3,050 条结果 （用时 0.20 秒） "
67,6641,找到约 959 条结果 （用时 0.18 秒） 
68,6605,"找到约 2,540 条结果 （用时 0.19 秒） "
69,6604,"找到约 1,470 条结果 （用时 0.20 秒） "
70,6471,"找到约 1,190 条结果 （用时 0.19 秒） "
71,6418,找到约 946 条结果 （用时 0.19 秒） 
72,6304,找到约 725 条结果 （用时 0.22 秒） 
73,6303,"找到约 4,310 条结果 （用时 0.21 秒） "
74,6195,"找到约 1,280 条结果 （用时 0.24 秒） "
75,6168,找到约 956 条结果 （用时 0.23 秒） 
76,6116,"找到约 1,690 条结果 （用时 0.21 秒） "
77,6014,"找到约 1,380 条结果 （用时 0.20 秒） "
78,5966,"找到约 18,500 条结果 （用时 0.24 秒） "
79,5936,"找到约 5,520 条结果 （用时 0.28 秒） "
80,5933,"找到约 1,720 条结果 （用时 0.18 秒） "
