,name,mes_count,end,start
0,100-newcomers,14 Messages,2017-10-20,2017-11-16
1,100all,34 Messages,2017-08-08,2018-02-02
2,100attendees,434 Messages,2017-09-13,2018-03-09
3,100companions,2 Messages,2017-11-10,2017-11-13
4,101-newcomers,9 Messages,2018-03-06,2018-03-21
5,101all,21 Messages,2018-01-18,2018-04-23
6,101attendees,492 Messages,2018-02-13,2018-04-23
7,101companions,2 Messages,2018-03-02,2018-03-06
8,102-newcomers,23 Messages,2018-07-03,2018-07-19
9,102all,27 Messages,2018-05-11,2018-08-06
10,102attendees,353 Messages,2018-06-12,2018-10-18
11,102companions,1 Messages,2018-05-29,2018-05-29
12,103-newcomers,22 Messages,2018-10-19,2019-06-16
13,103all,41 Messages,2018-08-14,2018-11-28
14,103attendees,448 Messages,2018-08-15,2019-03-09
15,104-newcomers,7 Messages,2019-03-08,2019-03-27
16,104all,31 Messages,2019-01-30,2019-04-09
17,104attendees,424 Messages,2019-01-10,2019-04-13
18,105-newcomers,7 Messages,2019-07-02,2019-07-24
19,105all,23 Messages,2019-05-30,2019-08-23
20,105attendees,295 Messages,2019-06-14,2019-08-06
21,16ng,964 Messages,2005-09-12,2012-11-23
22,25years,6 Messages,2011-03-21,2017-04-25
23,3gpp-ietf-coord,106 Messages,2017-07-06,2019-08-08
24,3gv6,396 Messages,2009-11-20,2015-01-13
25,5gangip,1538 Messages,2015-10-15,2019-03-26
26,6band,6 Messages,2015-06-09,2016-02-10
27,6lo,3146 Messages,2013-05-24,2019-09-03
28,6lo-fragmentation-dt,50 Messages,2018-01-25,2019-01-08
29,6lowapp,404 Messages,2009-08-03,2010-03-12
30,6tisch,6344 Messages,2013-01-24,2019-09-02
31,6tisch-security,744 Messages,2014-03-18,2018-09-22
32,6tsch,1352 Messages,2013-01-24,2013-10-07
33,aaa-doctors,1250 Messages,2006-10-26,2018-11-13
34,aaa-implementers,3 Messages,2009-07-22,2012-01-03
35,abfab,2280 Messages,2003-05-12,2016-10-04
36,abnf-discuss,246 Messages,2012-05-30,2018-07-23
37,accord,21 Messages,2015-12-16,2016-08-17
38,ace,3598 Messages,2013-12-09,2019-09-04
39,acme,3482 Messages,2014-11-24,2019-08-29
40,acvp,23 Messages,2018-07-15,2019-07-08
41,add,1309 Messages,2019-04-08,2019-09-04
42,addr-select-dt,265 Messages,2008-08-13,2011-04-06
43,adslmib,1175 Messages,2002-03-26,2019-07-01
44,agentx,269 Messages,1999-02-08,2015-09-24
45,aggsrv,18 Messages,2013-02-20,2013-07-05
46,alto,4094 Messages,2008-11-12,2019-09-04
47,altoext,103 Messages,2012-01-26,2012-07-31
48,ancp,1483 Messages,2006-06-29,2019-01-11
49,anima,4491 Messages,2014-06-11,2019-09-04
50,anima-bootstrap,535 Messages,2015-06-24,2018-10-18
51,anima-signaling,407 Messages,2015-04-30,2017-03-30
52,antitrust-policy,93 Messages,2012-01-10,2012-04-17
53,apps-review,695 Messages,2006-07-21,2011-12-06
