['draft-grundemann-hipnet', 'Expired Internet-Draft (1 hit)', 3]
['draft-kunze-temper', 'Expired Internet-Draft (1 hit)', 2]
['draft-roychowdhury-sipping-pathtrace-reqts', 'Expired Internet-Draft (1 hit)', 1]
['draft-watson-fecframe-raptor', 'Replaced Internet-Draft (1 hit)', 13]
['rfc6333', 'RFC (1 hit)', 18]
['draft-bannister-dbis-automounter', 'Expired Internet-Draft (1 hit)', 7]
['draft-fan-l2tp-vp', 'Expired Internet-Draft (1 hit)', 3]
['draft-fries-msec-mikey-applicability', 'Replaced Internet-Draft (1 hit)', 11]
['draft-devarapalli-mip4-mobike-connectivity', 'Replaced Internet-Draft (1 hit)', 6]
['rfc2596', 'RFC (1 hit)', 3]
['draft-yevstifeyev-rlogin-uri', 'Expired Internet-Draft (1 hit)', 1]
['draft-kawakami-mpls-lsp-vlan', 'Expired Internet-Draft (1 hit)', 1]
['draft-elkins-v6ops-ipv6-ipid-needed', 'Expired Internet-Draft (1 hit)', 2]
['draft-ietf-ippcp-arch', 'Expired Internet-Draft (1 hit)', 1]
['draft-saintandre-sieve-notify-xmpp', 'Replaced Internet-Draft (1 hit)', 11]
['rfc8184', 'RFC (1 hit)', 10]
['rfc3109', 'RFC (1 hit)', 4]
faildraft-chisholm-snmp-info-mode
['draft-pauly-ipsecme-split-dns', 'Replaced Internet-Draft (1 hit)', 21]
['rfc2391', 'RFC (1 hit)', 4]
['draft-liu-intarea-gre-tunnel-yang', 'Expired Internet-Draft (1 hit)', 1]
['draft-sims-dtnrg-bpmib', 'Expired Internet-Draft (1 hit)', 4]
['draft-falkner-nfsv4-acls', 'Expired Internet-Draft (1 hit)', 1]
['draft-bonaventure-bgp-route-reflectors', 'Expired Internet-Draft (1 hit)', 1]
['draft-wang-alto-decade-integration', 'Expired Internet-Draft (1 hit)', 1]
['rfc7746', 'RFC (1 hit)', 15]
['rfc3277', 'RFC (1 hit)', 3]
['draft-hermelin-ext-lsp-frags', 'Expired Internet-Draft (1 hit)', 4]
['draft-kitten-aes-cts-hmac-sha2', 'Expired Internet-Draft (1 hit)', 1]
['draft-alvestrand-rtcweb-gateways', 'Replaced Internet-Draft (1 hit)', 6]
['draft-rja-mua-hints', 'Expired Internet-Draft (1 hit)', 1]
['draft-ietf-pkix-ocspx', 'Expired Internet-Draft (1 hit)', 1]
['draft-camarillo-sipping-early-disposition', 'Expired Internet-Draft (1 hit)', 1]
['draft-macdonald-vir-bri-tun', 'Expired Internet-Draft (1 hit)', 1]
['draft-rawlins-rsvppcc-pib', 'Expired Internet-Draft (1 hit)', 3]
['draft-mirsky-bier-path-mtu-discovery', 'Replaced Internet-Draft (1 hit)', 9]
['draft-dang-ippm-congestion', 'Expired Internet-Draft (1 hit)', 2]
['rfc2161', 'RFC (1 hit)', 2]
['draft-wang-dnsop-cachesurvey', 'Expired Internet-Draft (1 hit)', 1]
['draft-leu-mpls-ldp-label-aggregation', 'Expired Internet-Draft (1 hit)', 1]
['draft-hoffman-dac-domainrepdata', 'Expired Internet-Draft (1 hit)', 2]
['draft-ksubram-lmap-router-buffer-sizes', 'Expired Internet-Draft (1 hit)', 3]
['draft-moskowitz-net66-vpn', 'Expired Internet-Draft (1 hit)', 1]
['draft-liu-ican', 'Active Internet-Draft (1 hit)', 1]
['draft-dawkins-panrg-what-not-to-do', 'Replaced Internet-Draft (1 hit)', 6]
['draft-ietf-pwe3-sonet-vt', 'Expired Internet-Draft (1 hit)', 1]
['draft-ietf-calsch-many-xcal', 'Expired Internet-Draft (1 hit)', 3]
['draft-presta-clue-data-model-schema', 'Replaced Internet-Draft (1 hit)', 22]
faildraft-chadwick-pkixldap-v3
['draft-calhoun-diameter-strong-crypto', 'Expired Internet-Draft (1 hit)', 8]
['draft-rosenberg-sipping-conferencing-framework', 'Expired Internet-Draft (1 hit)', 2]
