,num,title,date,status,stream,area,wg,area2,key words
0,8643,An Opportunistic Approach for Secure Real-time Transport Protocol (OSRTP), August 2019 , INFORMATIONAL, IETF, art, sipbrandy,RTP,"srtp, opportunistic security, encryption, best effort, osrtp"
1,8642,Policy Behavior for Well-Known BGP Communities, August 2019 , PROPOSED STANDARD, IETF, ops, grow,BGP,"Operations, Inter-Provider Communication"
2,8637,Applicability of the Path Computation Element (PCE) to the Abstraction and Control of TE Networks (ACTN), July 2019 , INFORMATIONAL, IETF, rtg, pce,,
3,8636,Public Key Cryptography for Initial Authentication in Kerberos (PKINIT) Algorithm Agility, July 2019 , PROPOSED STANDARD, IETF, sec, kitten,Kerberos,
4,8635,Router Keying for BGPsec, August 2019 , PROPOSED STANDARD, IETF, ops, sidrops,BGP,
5,8634,BGPsec Router Certificate Rollover, August 2019 , BEST CURRENT PRACTICE, IETF, ops, sidrops,BGP,
6,8633,Network Time Protocol Best Current Practices, July 2019 , BEST CURRENT PRACTICE, IETF, int, ntp,NTP,NTP
7,8631,Link Relation Types for Web Services, July 2019 , INFORMATIONAL, IETF,null, NON WORKING GROUP,,
8,8630,Resource Public Key Infrastructure (RPKI) Trust Anchor Locator, August 2019 , PROPOSED STANDARD, IETF, ops, sidrops,,
9,8629,Dynamic Link Exchange Protocol (DLEP) Multi-Hop Forwarding Extension, July 2019 , PROPOSED STANDARD, IETF, rtg, manet,,
10,8628,OAuth 2.0 Device Authorization Grant, August 2019 , PROPOSED STANDARD, IETF, sec, oauth,OAuth,"Security Area, OAuth, Security, Authorization, Smart Objects, IoT, Internet of Things, Internet of Things Security, OAuth for Constrained Devices, OAuth IoT Security"
11,8627,RTP Payload Format for Flexible Forward Error Correction (FEC), July 2019 , PROPOSED STANDARD, IETF, art, payload,RTP,"FEC, forward error correction"
12,8625,Ethernet Traffic Parameters with Availability Information, August 2019 , PROPOSED STANDARD, IETF, rtg, ccamp,"MPLS, RSVP-TE","GMPLS, RSVP-TE, microwave, variable bandwidth link, GMPLS, RSVP-TE, microwave, variable bandwidth link"
13,8624,Algorithm Implementation Requirements and Usage Guidance for DNSSEC, June 2019 , PROPOSED STANDARD, IETF, ops, dnsop,DNS,
14,8623,Stateful Path Computation Element (PCE) Protocol Extensions for Usage with Point-to-Multipoint TE Label Switched Paths (LSPs), June 2019 , PROPOSED STANDARD, IETF, rtg, pce,,
15,8622,A Lower-Effort Per-Hop Behavior (LE PHB) for Differentiated Services, June 2019 , PROPOSED STANDARD, IETF, tsv, tsvwg,,
16,8621,The JSON Meta Application Protocol (JMAP) for Mail, August 2019 , PROPOSED STANDARD, IETF, art, jmap,,
17,8620,The JSON Meta Application Protocol (JMAP), July 2019 , PROPOSED STANDARD, IETF, art, jmap,,
18,8619,Algorithm Identifiers for the HMAC-based Extract-and-Expand Key Derivation Function (HKDF), June 2019 , PROPOSED STANDARD, IETF,null, NON WORKING GROUP,,
19,8617,The Authenticated Received Chain (ARC) Protocol, July 2019 , EXPERIMENTAL, IETF, art, dmarc,DKIM,"DKIM, DMARC, signature, email, domian authentication, email authentication"
20,8616,Email Authentication for Internationalized Mail, June 2019 , PROPOSED STANDARD, IETF, art, dmarc,,
21,8615,Well-Known Uniform Resource Identifiers (URIs), May 2019 , PROPOSED STANDARD, IETF,null, NON WORKING GROUP,,
22,8614,Updated Processing of Control Flags for BGP Virtual Private LAN Service (VPLS), June 2019 , PROPOSED STANDARD, IETF, rtg, bess,BGP,
23,8613,Object Security for Constrained RESTful Environments (OSCORE), July 2019 , PROPOSED STANDARD, IETF, art, core,,
24,8612,DDoS Open Threat Signaling (DOTS) Requirements, May 2019 , INFORMATIONAL, IETF, sec, dots,,
